date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,312.0,360.5,305.67999267578125,354.3099975585937,354.3099975585937,,,,
02_2018,351.0,359.989990234375,294.760009765625,343.0599975585937,343.0599975585937,,,,
03_2018,345.010009765625,348.6700134277344,248.2100067138672,266.1300048828125,266.1300048828125,,,,
04_2018,256.260009765625,309.5,244.58999633789065,293.8999938964844,293.8999938964844,,,,
05_2018,293.510009765625,312.989990234375,273.4200134277344,284.7300109863281,284.7300109863281,,,,
06_2018,285.8599853515625,373.7300109863281,283.8399963378906,342.95001220703125,342.95001220703125,,,,
07_2018,360.07000732421875,364.7799987792969,286.1300048828125,298.1400146484375,298.1400146484375,,,,
08_2018,297.989990234375,387.4599914550781,288.20001220703125,301.6600036621094,301.6600036621094,,,,
09_2018,296.94000244140625,314.9599914550781,252.25,264.7699890136719,264.7699890136719,,,,
10_2018,305.7699890136719,347.1600036621094,247.77000427246097,337.32000732421875,337.32000732421875,308.69700317382814,,308.69700317382814,
11_2018,338.260009765625,366.75,325.0,350.4800109863281,350.4800109863281,308.3140045166016,,316.2939136851918,
12_2018,360.0,379.489990234375,294.0899963378906,332.79998779296875,332.79998779296875,307.2880035400391,,319.295018068424,
01_2019,306.1000061035156,352.0,279.2799987792969,307.0199890136719,307.0199890136719,311.377001953125,,317.0631946039236,
02_2019,305.4200134277344,324.239990234375,288.7699890136719,319.8800048828125,319.8800048828125,313.9750030517578,,317.57534192735795,
03_2019,306.94000244140625,307.1300048828125,254.4600067138672,279.8599853515625,279.8599853515625,313.4880004882813,,310.7180043681224,
04_2019,282.6199951171875,296.1700134277344,231.1300048828125,238.69000244140625,238.69000244140625,303.06199951171874,,297.6220040178104,
05_2019,238.8500061035156,258.3500061035156,184.1000061035156,185.16000366210932,185.16000366210932,291.7639984130859,,277.1743675895011,
06_2019,185.5099945068359,234.7400054931641,176.99000549316406,223.4600067138672,223.4600067138672,283.9439987182617,,267.4081201575677,
07_2019,230.2100067138672,266.07000732421875,222.22000122070312,241.6100006103516,241.6100006103516,281.6279998779297,,262.71755296716475,
08_2019,242.6499938964844,244.5099945068359,211.0,225.6100006103516,225.6100006103516,270.45699920654295,289.57700119018557,255.970725265926,289.57700119018557
09_2019,224.0800018310547,253.5,218.3600006103516,240.8699951171875,240.8699951171875,259.4959976196289,283.9050010681152,253.22513796615536,284.9382387070429
10_2019,241.5,340.8399963378906,224.27999877929688,314.9200134277344,314.9200134277344,257.70800018310547,282.4980018615723,264.4423880500788,287.79364582329924
11_2019,316.32000732421875,361.2000122070313,309.260009765625,329.94000244140625,329.94000244140625,260.00000152587893,285.68850173950193,276.35104521213833,291.80758454883323
12_2019,329.3999938964844,435.30999755859375,327.25,418.3299865722656,418.3299865722656,269.8449996948242,291.91000137329104,302.1653981867069,303.85733712249345
