date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,10.420000076293944,13.850000381469728,10.34000015258789,13.739999771118164,13.739999771118164,,,,
02_2018,13.619999885559082,13.84000015258789,10.630000114440918,12.109999656677246,12.109999656677246,,,,
03_2018,12.260000228881836,12.81999969482422,9.789999961853027,10.050000190734863,10.050000190734863,,,,
04_2018,9.989999771118164,11.359999656677246,9.039999961853027,10.880000114440918,10.880000114440918,,,,
05_2018,10.829999923706056,13.949999809265137,10.770000457763672,13.729999542236328,13.729999542236328,,,,
06_2018,13.979999542236328,17.34000015258789,13.920000076293944,14.989999771118164,14.989999771118164,,,,
07_2018,14.800000190734863,20.18000030517578,14.739999771118164,18.32999992370605,18.32999992370605,,,,
08_2018,18.34000015258789,27.299999237060547,18.0,25.170000076293945,25.170000076293945,,,,
09_2018,25.6200008392334,34.13999938964844,25.56999969482422,30.88999938964844,30.88999938964844,,,,
10_2018,30.690000534057617,31.90999984741211,16.170000076293945,18.209999084472656,18.209999084472656,16.80999975204468,,16.80999975204468,
11_2018,18.40999984741211,22.21999931335449,17.18000030517578,21.299999237060547,21.299999237060547,17.565999698638915,,17.626363294774837,
12_2018,22.479999542236328,23.75,16.030000686645508,18.459999084472656,18.459999084472656,18.200999641418456,,17.777933438356257,
01_2019,18.010000228881836,25.13999938964844,16.940000534057617,24.40999984741211,24.40999984741211,19.63699960708618,,18.98376369454823,
02_2019,24.61000061035156,25.520000457763672,22.270000457763672,23.530000686645508,23.530000686645508,20.90199966430664,,19.810352238565915,
03_2019,23.96999931335449,28.11000061035156,21.040000915527344,25.520000457763672,25.520000457763672,22.080999755859374,,20.848470096601872,
04_2019,26.420000076293945,29.950000762939453,25.82999992370605,27.6299991607666,27.6299991607666,23.344999694824217,,22.08147538099546,
05_2019,28.950000762939453,29.670000076293945,26.030000686645508,27.40999984741211,27.40999984741211,24.252999687194823,,23.050298011253034,
06_2019,28.75,34.29999923706055,27.290000915527344,30.3700008392334,30.3700008392334,24.77299976348877,,24.381153070885826,
07_2019,31.790000915527344,34.86000061035156,30.100000381469727,30.450000762939453,30.450000762939453,24.728999900817872,,25.484579923986487,
08_2019,30.5,35.54999923706055,27.649999618530277,31.450000762939453,31.450000762939453,26.053000068664552,21.431499910354614,26.56920189470521,21.431499910354614
09_2019,30.82999992370605,32.04999923706055,28.350000381469727,28.989999771118164,28.989999771118164,26.822000122070314,22.193999910354613,27.00934696314393,22.151357039951144
10_2019,29.049999237060547,34.34000015258789,27.43000030517578,33.93000030517578,33.93000030517578,28.369000244140626,23.284999942779542,28.267647570786085,23.273132589020157
11_2019,34.369998931884766,41.790000915527344,34.099998474121094,39.150001525878906,39.150001525878906,29.843000411987305,24.740000009536743,30.246257380802962,24.785215344911467
12_2019,39.31999969482422,47.310001373291016,37.150001525878906,45.86000061035156,45.86000061035156,32.07600040435791,26.489000034332275,33.08511978617543,26.792337751143858
