date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,170.16000366210938,180.10000610351562,164.6999969482422,167.42999267578125,161.68931579589844,,,,
02_2018,167.1699981689453,180.6199951171875,150.24000549316406,178.1199951171875,172.714111328125,,,,
03_2018,178.5399932861328,183.5,164.94000244140625,167.77999877929688,162.68792724609375,,,,
04_2018,166.63999938964844,178.94000244140625,160.6300048828125,165.25999450683594,160.24440002441406,,,,
05_2018,166.41000366210938,190.3699951171875,165.27000427246094,186.8699951171875,181.89724731445312,,,,
06_2018,187.9900054931641,194.1999969482422,180.72999572753903,185.1100006103516,180.18408203125,,,,
07_2018,183.82000732421875,195.9600067138672,183.4199981689453,190.2899932861328,185.2262420654297,,,,
08_2018,199.1300048828125,228.8699951171875,197.30999755859372,227.6300048828125,222.3496856689453,,,,
09_2018,228.41000366210932,229.6699981689453,215.3000030517578,225.7400054931641,220.5035400390625,,,,
10_2018,227.9499969482422,233.47000122070312,206.08999633789065,218.8600006103516,213.78314208984372,191.30899810791016,,191.30899810791016,
11_2018,219.0500030517578,222.3600006103516,170.25999450683594,178.5800018310547,175.04615783691406,192.4239990234375,,188.99463514848188,
12_2018,184.4600067138672,184.94000244140625,146.58999633789062,157.74000549316406,154.61854553222656,190.38600006103516,,183.31197521115138,
01_2019,154.88999938964844,169.0,142.0,166.44000244140625,163.1463623046875,190.2520004272461,,180.24434379847045,
02_2019,166.9600067138672,175.8699951171875,165.92999267578125,173.14999389648438,170.45150756835938,191.04100036621094,,178.95446199810934,
03_2019,174.27999877929688,197.69000244140625,169.5,189.9499969482422,186.98968505859372,191.3490005493164,,180.95365017086075,
04_2019,191.63999938964844,208.47999572753903,188.3800048828125,200.6699981689453,197.5426177978516,192.90500030517578,,184.53844071596703,
05_2019,209.8800048828125,215.30999755859372,174.99000549316406,175.07000732421875,173.00527954101562,191.38300170898438,,182.8169073720128,
06_2019,175.60000610351562,201.57000732421875,170.27000427246094,197.9199981689453,195.5857696533203,188.41200103759766,,185.56292388054598,
07_2019,203.1699981689453,221.3699951171875,198.41000366210932,213.0399932861328,210.5274658203125,187.14199981689453,,190.55875468156177,
08_2019,213.8999938964844,218.02999877929688,192.5800018310547,208.7400054931641,207.0619201660156,186.13000030517577,188.71949920654296,193.86443664730766,188.71949920654296
09_2019,206.42999267578125,226.4199981689453,204.22000122070312,223.97000122070312,222.1694793701172,190.66900024414062,191.54649963378907,199.3381756606523,192.0766898745582
10_2019,225.07000732421875,249.75,215.1300048828125,248.7599945068359,246.76019287109372,199.7709991455078,195.0784996032715,208.32396090541295,197.47509983953705
11_2019,249.5399932861328,268.0,249.16000366210932,267.25,265.8974609375,209.85199890136718,200.05199966430663,219.03778619533787,204.1203284262478
12_2019,267.2699890136719,293.9700012207031,256.2900085449219,293.6499938964844,292.163818359375,221.9019989013672,206.47149963378905,232.60364214100088,212.646963232937
