date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,196.1000061035156,286.8099975585937,195.4199981689453,270.29998779296875,270.29998779296875,,,,
02_2018,266.4100036621094,297.3599853515625,236.1100006103516,291.3800048828125,291.3800048828125,,,,
03_2018,292.75,333.9800109863281,275.8999938964844,295.3500061035156,295.3500061035156,,,,
04_2018,291.94000244140625,338.82000732421875,271.2200012207031,312.4599914550781,312.4599914550781,,,,
05_2018,310.3599853515625,356.1000061035156,305.7300109863281,351.6000061035156,351.6000061035156,,,,
06_2018,353.8800048828125,423.2099914550781,352.82000732421875,391.4299926757813,391.4299926757813,,,,
07_2018,385.4500122070313,419.7699890136719,328.0,337.45001220703125,337.45001220703125,,,,
08_2018,335.8699951171875,376.80999755859375,310.92999267578125,367.6799926757813,367.6799926757813,,,,
09_2018,366.4700012207031,383.2000122070313,335.8299865722656,374.1300048828125,374.1300048828125,,,,
10_2018,375.8500061035156,386.7999877929687,271.2099914550781,301.7799987792969,301.7799987792969,329.3559997558594,,329.3559997558594,
11_2018,304.5899963378906,332.04998779296875,250.0,286.1300048828125,286.1300048828125,330.9390014648437,,321.4967279607599,
12_2018,293.19000244140625,298.7200012207031,231.22999572753903,267.6600036621094,267.6600036621094,328.56700134277344,,311.70823263373256,
01_2019,259.2799987792969,358.8500061035156,256.5799865722656,339.5,339.5,332.98200073242185,,316.76128124578116,
02_2019,337.17999267578125,371.489990234375,336.5,358.1000061035156,358.1000061035156,337.54600219726564,,324.27741303809654,
03_2019,362.260009765625,379.0,342.4700012207031,356.5599975585937,356.5599975585937,338.04200134277346,,330.1469738600051,
04_2019,359.0,384.7999877929687,342.2699890136719,370.5400085449219,370.5400085449219,335.9530029296875,,337.49116198453544,
05_2019,374.0,385.989990234375,341.3900146484375,343.2799987792969,343.2799987792969,336.53600158691404,,338.5436777654011,
06_2019,343.5599975585937,375.0,332.6499938964844,367.3200073242187,367.3200073242187,336.5000030517578,,343.77573768518613,
07_2019,373.5,384.760009765625,305.8099975585937,322.989990234375,322.989990234375,331.38600158691406,,339.99651087594776,
08_2019,324.25,328.5799865722656,287.20001220703125,293.75,293.75,330.5830017089844,329.96950073242186,331.58805435304816,329.96950073242186
09_2019,290.82000732421875,301.54998779296875,252.27999877929688,267.6199951171875,267.6199951171875,328.73200073242185,329.8355010986328,319.95749812834623,324.03145257859
10_2019,267.3500061035156,308.75,257.010009765625,287.4100036621094,287.4100036621094,330.7070007324219,329.63700103759766,314.0397718617577,320.5436955389252
11_2019,288.70001220703125,316.82000732421875,281.1400146484375,314.6600036621094,314.6600036621094,328.22300109863284,330.60250091552734,314.15254128000345,319.9833439316094
12_2019,314.3900146484375,338.0,292.0199890136719,323.57000732421875,323.57000732421875,324.77000122070314,331.1580017089844,315.86480783349714,320.32493092138174
