date,open,high,low,close,adjclose,SMA_10,SMA_20,EMA_10,EMA_20
01_2018,119.93000030517578,122.51000213623048,116.37999725341795,120.3000030517578,111.45540618896484,,,,
02_2018,119.91999816894533,121.01000213623048,107.94000244140624,109.7300033569336,101.66252136230467,,,,
03_2018,109.20999908447266,113.9000015258789,105.94000244140624,109.1500015258789,101.87252807617188,,,,
04_2018,108.62000274658205,111.18000030517578,100.58000183105467,100.94000244140624,94.20990753173828,,,,
05_2018,100.36000061035156,102.23999786376952,95.94000244140624,100.25,94.42644500732422,,,,
06_2018,100.54000091552734,109.58999633789062,99.6500015258789,108.87000274658205,102.54570770263672,,,,
07_2018,108.6999969482422,116.9000015258789,107.5199966430664,115.0,108.31961822509766,,,,
08_2018,114.41999816894533,118.44000244140624,110.88999938964844,112.01000213623048,105.50331115722656,,,,
09_2018,111.81999969482422,115.5199966430664,110.4499969482422,111.8000030517578,106.17655181884766,,,,
10_2018,112.1500015258789,114.2300033569336,104.52999877929688,112.37999725341795,106.72737121582033,110.04300155639649,,110.04300155639649,
11_2018,112.0,122.0,109.62999725341795,121.94000244140624,115.80651092529295,110.20700149536133,,112.20609262639826,
12_2018,120.4800033569336,120.91000366210938,105.02999877929688,110.4800033569336,105.7560577392578,110.28200149536133,,111.89225821376832,
01_2019,109.1500015258789,112.9000015258789,106.7300033569336,112.66999816894533,107.85242462158205,110.63400115966797,,112.03366547834595,
02_2019,112.9499969482422,117.3000030517578,111.4499969482422,115.63999938964844,111.59304809570312,112.10400085449218,,112.68936255312822,
03_2019,115.86000061035156,123.19000244140624,114.26000213623048,122.5500030517578,118.26123046875,114.33400115966796,,114.48220628015179,
04_2019,122.58999633789062,128.38999938964844,120.73999786376952,128.0500030517578,123.5687484741211,116.25200119018555,,116.9490784204438,
05_2019,127.8499984741211,130.89999389648438,124.8499984741211,128.0,123.52050018310548,117.55200119018555,,118.95833688945402,
06_2019,127.86000061035156,135.24000549316406,127.48999786376952,131.1300048828125,127.46746063232422,119.46400146484375,,121.17136743370101,
07_2019,131.99000549316406,135.24000549316406,126.23999786376952,127.80999755859376,124.24017333984376,121.06500091552735,,122.37839109277242,
08_2019,128.9600067138672,137.11000061035156,123.87999725341795,136.72999572753906,132.91102600097656,123.50000076293945,116.77150115966796,124.98777375363908,116.77150115966796
09_2019,136.35000610351562,139.17999267578125,134.10000610351562,137.10000610351562,134.19166564941406,125.0160011291504,117.61150131225585,127.18999781725299,118.70754924955821
10_2019,136.92999267578125,140.4499969482422,133.49000549316406,137.1699981689453,134.2601776123047,127.68500061035157,118.98350105285644,129.0045433357425,120.46587771807127
11_2019,137.5500030517578,138.33999633789062,131.58999633789062,135.8300018310547,132.9486083984375,130.0010009765625,120.31750106811523,130.24553578943562,121.9291276335935
12_2019,136.64999389648438,138.25,134.32000732421875,136.6699981689453,134.707763671875,132.1040008544922,122.10400085449218,131.4136198584374,123.33302006553177
